id,NHM_specimen_number,View,Species,Subspecies,Sex,md5
KDS000000,10428329,dorsal,melpomene,thelxiopeia,male,bfe69135302b78cef66df623ddb5befd
KDS000001,10428329,ventral,melpomene,thelxiopeia,male,c860654219c233d353277b049610bae4
KDS000002,10428331,dorsal,melpomene,thelxiopeia,female,e721585817681ef60e5d0ab81ca00cfd
KDS000003,10428331,ventral,melpomene,thelxiopeia,female,8117d2fbcd85266ea26fc9952b7b23c7
KDS000004,10428332,dorsal,melpomene,thelxiopeia,female,57427dc88037f13f257e3bf52942b2fc
KDS000005,10428332,ventral,melpomene,thelxiopeia,female,63a2f299084f237892dd5d329d247490
KDS000006,10428333,dorsal,melpomene,thelxiopeia,male,3dd22ffa0ad11eece98438e027ea6ef1
KDS000007,10428333,ventral,melpomene,thelxiopeia,male,198953dd8c422bb8892ed430e34976af
KDS000008,10428334,dorsal,melpomene,thelxiopeia,male,4706047b2cd032122061c9d67ce24629
KDS000009,10428334,ventral,melpomene,thelxiopeia,male,a3087cad4e713f385121af6ca92eb045
KDS000010,10428335,dorsal,melpomene,thelxiopeia,female,c951892b86c5ade4edf594130d758b7c
KDS000011,10428335,ventral,melpomene,thelxiopeia,female,071d9b029c6e1c11e746d9068f059bc0
KDS000012,10428336,dorsal,melpomene,thelxiopeia,female,503ef2599a12e0e8389f4cac0c5fef54
KDS000013,10428336,ventral,melpomene,thelxiopeia,female,77a76a9f2dc603500610e4cf2c9c59bb
KDS000014,10428367,dorsal,melpomene,melpomene,male,0ddc9f7f438072615a3e8c392a05930a
KDS000015,10428367,ventral,melpomene,melpomene,male,1331266d8548a448331d8f737b6abe5f
KDS000016,10428369,dorsal,melpomene,melpomene,female,cffe8c60e88431f964e02d42a2faae53
KDS000017,10428369,ventral,melpomene,melpomene,female,265564551b46769be305868ec32c37ed
KDS000018,10428370,dorsal,melpomene,melpomene,female,259b2e20477d01fad3625a19e1b42e1b
KDS000019,10428370,ventral,melpomene,melpomene,female,4eca05599134f2b8ec516cdb288b8c82
KDS000020,10428371,dorsal,melpomene,melpomene,female,ab2ba0c1dbbfeb1d32aca5cedad8e928
KDS000021,10428371,ventral,melpomene,melpomene,female,c50a90237b14d524ba9732175ca87068
KDS000022,10428372,dorsal,melpomene,melpomene,female,2d792820b231d1ac18ee91aa9691b190
KDS000023,10428372,ventral,melpomene,melpomene,female,2e2435ef317e1be5b467b0cded86a6a5
KDS000024,10428374,dorsal,melpomene,melpomene,male,ca3c9bc502f0d38b1e85b9b3a1cf1044
KDS000025,10428374,ventral,melpomene,melpomene,male,19b01654d6c44e22a748476309dd8cc6
KDS000026,10428375,dorsal,melpomene,melpomene,female,bc18e0e7467c27c337dcd7ffcc6c4ace
KDS000027,10428375,ventral,melpomene,melpomene,female,deda2e46a5950fb4f36900b7bf913117
KDS000028,10428636,dorsal,erato,amalfreda,male,0c9c7e358752c5ca0cee78a1f004dad3
KDS000029,10428636,ventral,erato,amalfreda,male,d0dd3bc05dead39e2177c59f2925cd2b
KDS000030,10428637,dorsal,erato,amalfreda,male,0f11ac8ad6633547904314acbefa2115
KDS000031,10428637,ventral,erato,amalfreda,male,4357829d52b6440eb5b3ea7d44952c3c
KDS000032,10428638,dorsal,erato,amalfreda,male,2e056af00f01370e6057c58c71f38715
KDS000033,10428638,ventral,erato,amalfreda,male,469a34ae5733f8f6b1347f6b2dacb0fc
KDS000034,10428639,dorsal,erato,amalfreda,male,1cc024e595d8fd7aebb3056910dc90e5
KDS000035,10428639,ventral,erato,amalfreda,male,55df1022f641fe587fdbbd680f35cfc7
KDS000036,10428640,dorsal,erato,amalfreda,male,35ff35e35e49930c1bb711504b4104a3
KDS000037,10428640,ventral,erato,amalfreda,male,1f724cfbf2c11a4176fa78a293d21774
KDS000038,10428641,dorsal,erato,amalfreda,male,60cdcc3bea28e182207e45f39b8a2dfe
KDS000039,10428641,ventral,erato,amalfreda,male,90076732f5d9227cff870d1cdc0a2f06
KDS000040,10428642,dorsal,erato,amalfreda,male,885147dacb512dc410e0d94961829ba0
KDS000041,10428642,ventral,erato,amalfreda,male,887d15bf45301b254dcd0ad69e2e827a
KDS000042,10428800,dorsal,erato,guarica,male,f0e43ad9d1d58cdccfb056136b7b3b61
KDS000043,10428800,ventral,erato,guarica,male,ba16bba5c93c294938b62cd9d8514f3d
KDS000044,10428801,dorsal,erato,guarica,male,bceeddb4de47ba6eddbf40687620bc50
KDS000045,10428801,ventral,erato,guarica,male,539e8817da3de98d8ca941ea4b70a838
KDS000046,10428802,dorsal,erato,guarica,male,4da6b8ab0e2485cd7326589da46c00d7
KDS000047,10428802,ventral,erato,guarica,male,1fbeca2c93c4486b6553f0fbf70942b5
KDS000048,10428803,dorsal,erato,guarica,female,43baf597db1a814f6329c82af64e9d77
KDS000049,10428803,ventral,erato,guarica,female,748a0ae89355f22333f3cfcac072bdbc
KDS000050,10428804,dorsal,erato,guarica,female,cdaea207249965c906aaa669bffbb9d7
KDS000051,10428804,ventral,erato,guarica,female,6c01fd06af16bd83eaa76f1eefadf2b6
KDS000052,10428805,dorsal,erato,guarica,female,dc897c5543d81cdf2917dfe0ce479ff2
KDS000053,10428805,ventral,erato,guarica,female,da0c8faedc3401bfb2d888b10ed977c3
KDS000054,10429045,dorsal,erato,lativitta,male,af6e19220cd3534c0df6bf9ba1ab0d4d
KDS000055,10429045,ventral,erato,lativitta,male,928fc153f2eac7d6c355aa84f6f6ff47
KDS000056,10429046,dorsal,erato,lativitta,male,a75f34984a5c082b0e4af035a6926865
KDS000057,10429046,ventral,erato,lativitta,male,5843b031cd870d48f7923fe3bd2bd04c
KDS000058,10429047,dorsal,erato,lativitta,male,edea807be51bc6d4513d754335dd67a2
KDS000059,10429047,ventral,erato,lativitta,male,edcb8a733698a835d8b9f36573aa0c07
KDS000060,10429048,dorsal,erato,lativitta,male,e34b39f5d5d1b4befb1ae95a9dd2d4f3
KDS000061,10429048,ventral,erato,lativitta,male,70065957d3816d0bac02dd64e74ff50d
KDS000062,10429049,dorsal,erato,lativitta,male,62e86741a1b89519305488a44ebeac01
KDS000063,10429049,ventral,erato,lativitta,male,9e2248f990c61ebe5bc5d8f287230cde
KDS000064,10429051,dorsal,erato,lativitta,male,75545b64f8549843f6fb7a96a1ce42ff
KDS000065,10429051,ventral,erato,lativitta,male,7cffa8ee3df4d89a8261462b254306b6
KDS000066,10429057,dorsal,erato,etylus,male,d6c8f59ac8061b367e79c78f9c4d4d24
KDS000067,10429057,ventral,erato,etylus,male,5ece32f11dc03581777c5b8e67765978
KDS000068,10429058,dorsal,erato,etylus,male,b2e25f3a438196e082970ff1e4a320d0
KDS000069,10429058,ventral,erato,etylus,male,a0de018a588dd3bfd6f7254df05e7b22
KDS000070,10429059,dorsal,erato,etylus,male,9740852c90d6c714998e673049d6ab88
KDS000071,10429059,ventral,erato,etylus,male,ca92385f8df4a2879d85a2691edab477
KDS000072,10429060,dorsal,erato,etylus,female,e97fa143c015dd8559e39d3dcfed6136
KDS000073,10429060,ventral,erato,etylus,female,faaa52df2b4d0f4084ab4711d2f1c7c7
KDS000074,10429061,dorsal,erato,etylus,female,4f54ae93cb60136306196c061c0c3982
KDS000075,10429061,ventral,erato,etylus,female,52616c0bbc0f3e03484913f4afb7aa45
